price,bedrooms,living_area_sqft,year_built,neighborhood
215000,3,1656,1960,NAmes
105000,2,896,1961,NAmes
172000,3,1329,1958,NAmes
244000,3,2110,1968,NAmes
189900,3,1629,1997,Gilbert
195500,3,1604,1998,Gilbert
213500,2,1338,2001,StoneBr
191500,2,1280,1992,StoneBr
236500,2,1616,1995,StoneBr
189000,3,1804,1999,Gilbert
175900,3,1655,1993,Gilbert
185000,3,1187,1992,Gilbert
180400,3,1465,1998,Gilbert
171500,2,1341,1990,Gilbert
212000,1,1502,1985,StoneBr
538000,4,3279,2003,StoneBr
164000,4,1752,1988,Gilbert
394432,1,1856,2010,StoneBr
141000,2,864,1951,Gilbert
210000,3,2073,1978,NWAmes
190000,3,1844,1977,NWAmes
170000,3,1173,1974,NWAmes
216000,3,1674,2000,Somerst
149000,2,1004,1970,NAmes
149900,3,1078,1971,NAmes
142000,3,1056,1968,NAmes
126000,2,882,1970,NAmes
115000,3,864,1971,NAmes
184000,2,1337,1999,NAmes
96000,2,987,1971,BrDale
105500,3,1092,1971,BrDale
88000,3,1092,1971,BrDale
127500,2,1069,1977,NPkVill
149900,3,1456,1975,NPkVill
120000,2,836,1975,NPkVill
146000,3,1456,1978,NPkVill
376162,3,2334,2009,NridgHt
306000,3,1704,2007,NridgHt
395192,3,1940,2009,NridgHt
290941,3,1544,2009,NridgHt
220000,3,1541,2005,NridgHt
275000,3,1698,2005,NridgHt
259000,3,1822,2005,NridgHt
214000,3,1535,2004,NridgHt
611657,2,2364,2009,NridgHt
224000,2,1358,2009,NridgHt
500000,3,2696,2003,NridgHt
320000,3,2250,2002,NridgHt
319900,2,1752,2005,NridgHt
205000,2,1370,2006,NridgHt
175500,2,1626,2003,NridgHt
199500,3,1324,2005,Gilbert
160000,2,1145,2006,Blmngtn
192000,2,1269,2004,Blmngtn
184500,3,1374,2004,Gilbert
216500,4,1960,2002,Gilbert
185088,3,1733,2004,Gilbert
180000,3,1430,2000,Gilbert
222500,3,2035,2001,Gilbert
333168,4,2599,1999,NoRidge
355000,4,2475,1998,NoRidge
260400,3,1720,1996,NoRidge
325000,3,2622,1994,NoRidge
290000,4,2270,1999,NoRidge
221000,4,1839,1998,NoRidge
410000,4,3238,1995,NoRidge
221500,2,1595,2005,Somerst
204500,2,1218,2009,Somerst
215200,3,1547,2009,Somerst
262500,3,1566,2008,Somerst
254900,3,1947,2004,Somerst
271500,2,1468,2005,Somerst
233000,4,2084,2004,SawyerW
181000,3,1659,2004,SawyerW
205000,3,2110,1994,SawyerW
143000,2,923,1980,SawyerW
189000,3,1845,1992,SawyerW
99500,2,918,1979,SawyerW
125000,2,752,1984,SawyerW
194500,3,1744,1993,SawyerW
152000,3,1097,1984,SawyerW
171000,3,1564,1980,SawyerW
67500,2,1012,1920,SawyerW
112000,4,1902,1978,Sawyer
148000,3,1155,1961,Sawyer
138500,3,894,1965,Sawyer
122000,3,900,1967,Sawyer
133000,3,1040,1963,Sawyer
127000,3,1040,1962,Sawyer
169000,3,1494,1974,Sawyer
190000,3,1923,1992,NoRidge
362500,4,2349,1993,NoRidge
285000,4,2225,1992,NoRidge
260000,2,1488,2004,Somerst
190000,2,1680,2004,Somerst
155000,2,1200,2004,Somerst
151000,2,1200,2004,Somerst
149500,2,1200,2004,Somerst
152000,2,1236,2005,Somerst
222000,2,1478,2009,Somerst
177500,3,1573,2000,Somerst
177000,2,1512,2000,Somerst
155000,3,1416,1999,Somerst
147110,2,1080,2003,Somerst
267916,1,1418,2010,Somerst
254000,3,1848,2000,Somerst
155000,1,788,1980,Greens
206000,1,1226,1978,Greens
130500,3,1479,1976,Sawyer
230000,3,1492,2002,Somerst
218500,4,1829,1967,NWAmes
243500,4,2495,1993,NWAmes
205000,3,1610,1977,NWAmes
212500,3,1891,1978,NWAmes
196500,3,1714,1988,NWAmes
197500,3,1381,1972,NWAmes
171000,4,1645,1971,NWAmes
142250,3,1232,1966,NAmes
143000,3,1328,1963,NWAmes
128950,3,1225,1959,NAmes
159000,3,1209,1966,NAmes
178900,3,1510,1967,NAmes
136300,3,1775,1964,NAmes
180500,3,1152,1964,NAmes
137500,3,1054,1963,NAmes
84900,6,1728,1962,NAmes
142125,2,1078,1950,NAmes
197600,3,2461,1952,NAmes
172500,3,1556,1949,NAmes
116500,2,858,1958,BrkSide
76500,3,1306,1940,BrkSide
128000,3,1063,1954,NAmes
153000,3,1520,1955,NAmes
132000,2,1268,1954,NAmes
178000,2,1128,1966,NAmes
154300,5,2274,1960,NAmes
180000,3,2207,1970,NAmes
190000,2,1888,1966,NAmes
135000,4,1604,1958,NAmes
214000,3,1480,2003,NAmes
136000,3,1143,1959,NAmes
165500,4,1700,1959,NAmes
145000,3,1314,1957,NAmes
148000,3,1194,1959,NAmes
142000,3,1188,1959,NAmes
167500,3,1264,1960,NAmes
108538,3,1206,1959,NAmes
159500,3,1580,1959,NAmes
108000,3,1337,1956,NAmes
135000,2,1064,1952,NAmes
122500,3,972,1955,NAmes
119000,2,988,1958,NAmes
109000,3,1057,1953,NAmes
105000,2,985,1920,NAmes
107500,2,827,1955,NAmes
144900,3,1086,1954,NAmes
129000,2,936,1956,NAmes
97500,3,1458,1948,NAmes
144000,0,1056,1980,OldTown
162000,3,1287,1959,NAmes
242000,5,2978,1967,NAmes
132000,3,1224,1948,NAmes
154000,3,1246,1959,NAmes
166000,4,1385,1952,NAmes
134800,3,900,1951,NAmes
160000,3,1116,1962,NAmes
148000,3,1175,1960,NAmes
192000,2,1395,1963,NAmes
155000,4,1839,1966,NAmes
80400,3,1844,1900,OldTown
96500,3,1140,1910,OldTown
109500,2,936,1920,OldTown
115000,2,1028,1927,OldTown
143000,3,1347,1957,OldTown
107400,3,1605,1915,OldTown
80000,2,747,1945,OldTown
