city,country,pop2023,latitude,longitude,fill
Sao Paulo,Brazil,10021295,-23.5475,-46.6361,#3288bd
Rio de Janeiro,Brazil,6023699,-22.9064,-43.1822,#e6f598
Salvador,Brazil,2711840,-12.9711,-38.5108,#ffffbf
Fortaleza,Brazil,2400000,-3.71722,-38.5431,#fee08b
Belo Horizonte,Brazil,2373224,-19.9208,-43.9378,#fee08b
Brasilia,Brazil,2207718,-15.7797,-47.9297,#fee08b
Curitiba,Brazil,1718421,-25.4278,-49.2731,#fee08b
Manaus,Brazil,1598210,-3.10194,-60.025,#fee08b
Recife,Brazil,1478098,-8.05389,-34.8811,#fee08b
Belem,Brazil,1407737,-1.45583,-48.5044,#fee08b
Porto Alegre,Brazil,1372741,-30.0328,-51.2302,#fee08b
Goiania,Brazil,1171195,-16.6786,-49.2539,#fee08b
Guarulhos,Brazil,1169577,-23.4628,-46.5333,#fee08b
Campinas,Brazil,1031554,-22.9056,-47.0608,#fee08b
Nova Iguacu,Brazil,1002118,-22.7592,-43.4511,#fee08b
Maceio,Brazil,954991,-9.66583,-35.7353,#fdae61
Sao Luis,Brazil,917237,-2.52972,-44.3028,#fdae61
Duque de Caxias,Brazil,818329,-22.7856,-43.3117,#fdae61
Natal,Brazil,763043,-5.795,-35.2094,#fdae61
Teresina,Brazil,744512,-5.08917,-42.8019,#f46d43
Sao Bernardo do Campo,Brazil,743372,-23.6939,-46.565,#f46d43
Campo Grande,Brazil,729151,-20.4428,-54.6464,#f46d43
Jaboatao,Brazil,702621,-8.18028,-35.0014,#f46d43
Osasco,Brazil,677856,-23.5325,-46.7917,#f46d43
Santo Andre,Brazil,662373,-23.6639,-46.5383,#f46d43
Joao Pessoa,Brazil,650883,-7.115,-34.8631,
Jaboatao dos Guararapes,Brazil,630008,-8.11278,-35.0147,
Contagem,Brazil,627123,-19.9317,-44.0536,
Ribeirao Preto,Brazil,619746,-21.1775,-47.8103,
Feira de Santana,Brazil,619609,-12.2667,-38.9667,
Sao Jose dos Campos,Brazil,613764,-23.1794,-45.8869,
Uberlandia,Brazil,563536,-18.9186,-48.2772,
Sorocaba,Brazil,558862,-23.5017,-47.4581,
Cuiaba,Brazil,521934,-15.5961,-56.0967,
Aparecida de Goiania,Brazil,510770,-16.8233,-49.2439,
Aracaju,Brazil,490175,-10.9111,-37.0717,
Londrina,Brazil,471832,-23.3103,-51.1628,
Juiz de Fora,Brazil,470193,-21.7642,-43.3503,
Belford Roxo,Brazil,466096,-22.7642,-43.3994,
Joinville,Brazil,461304,-26.3044,-48.8456,
Niteroi,Brazil,456456,-22.8833,-43.1036,
