,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
0,A. Jayson Adair,Adair,a-jayson-adair,no-pic,6.331,53.0,Damaged cars,Automotive,M,United States,1681550402483,TX,Texas,1463.592,2042.0,2042.0,https://specials-images.forbesimg.com/imageserve/5fb529400560bf6784deea95/416x416.jpg?background=000000&cropX1=887&cropX2=1362&cropY1=707&cropY2=1183,,,,,,,
1,Abhay Soi,Soi,abhay-soi,no-pic,0.0,49.0,Healthcare,Healthcare,M,India,1681550402483,,,1256.29,2296.0,2296.0,https://specials-images.forbesimg.com/imageserve/612e3dde1434aca16b4d05fb/416x416.jpg?background=000000&cropX1=150&cropX2=827&cropY1=0&cropY2=678,,,,,,,
2,Abigail Bennett,Bennett,abigail-bennett,no-pic-female,7.437,42.0,Liquor,Food & Beverage,F,United States,1681550402483,NY,New York,1147.066,2447.0,2447.0,,,,,,,,
3,Adam Neumann,Neumann,adam-neumann,adam-neumann,-1.692,44.0,WeWork ,Real Estate,M,Israel,1681550402483,FL,Florida,2206.64,1434.0,1434.0,https://specials-images.forbesimg.com/imageserve/640f9728b347b28105216409/416x416.jpg?background=000000&cropX1=0&cropX2=1017&cropY1=150&cropY2=1168,,,,,,,
4,Adriaan Mol,Mol,adriaan-mol,no-pic,0.0,39.0,Fintech,Technology,M,Netherlands,1681550402483,,,1772.0,1742.0,1742.0,,,,,,,,
5,Adrian Paval,Paval,adrian-paval,no-pic,0.0,54.0,Retail,Fashion & Retail,M,Romania,1681550402483,,,1165.488,2432.0,2432.0,,,,,,,,
6,Alan Miller & family,Miller,alan-miller-1,no-pic,-2.279,85.0,Healthcare services,Healthcare,M,United States,1681550402483,PA,Pennsylvania,1322.556,2203.0,2203.0,,,,,,,,
7,Alan Wilson,Wilson,alan-wilson,no-pic,13.529,82.0,Retailing,Fashion & Retail,M,Australia,1681550402483,,,1800.476,1716.0,1716.0,,,,,,,,
8,Albert Avdolyan,Avdolyan,albert-avdolyan,no-pic,0.0,52.0,"Oil, mining",Energy,M,Russia,1681550402483,,,2200.145,1438.0,1438.0,,,,,,,,
9,Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,37.542,82.0,Automotive brakes,Automotive,M,Italy,1681550402483,,,2967.037,1035.0,1035.0,,,,,,,,
