age,deaths_male,deaths_female,deaths_total
0,672,575,1246
1,104,106,211
2,63,60,122
3,53,47,100
4,40,42,82
5,38,39,77
6,26,32,59
7,41,29,70
8,39,22,61
9,40,23,62
10,26,23,49
11,52,33,85
12,43,33,76
13,55,45,100
14,61,47,108
15,89,64,152
16,96,64,160
17,153,76,229
18,163,94,257
19,209,106,315
20,256,119,375
21,299,138,438
22,329,153,482
23,293,147,440
24,294,135,429
25,270,139,409
26,274,148,422
27,281,170,451
28,286,136,422
29,328,157,485
30,365,162,528
31,319,178,497
32,336,196,531
33,370,196,566
34,391,230,620
35,424,258,681
36,460,279,740
37,504,280,784
38,559,310,869
39,640,343,983
40,688,403,1090
41,712,463,1175
42,770,495,1266
43,924,530,1454
44,1002,634,1635
45,1180,726,1905
46,1328,797,2125
47,1620,918,2538
48,1871,1112,2983
49,2176,1285,3461
50,2410,1366,3776
51,2646,1519,4165
52,2674,1493,4168
53,2962,1587,4549
54,3304,1673,4977
55,3336,1697,5033
56,3422,1606,5029
57,3587,1752,5340
58,4299,2046,6344
59,4458,2151,6608
60,4843,2120,6964
61,5225,2265,7489
62,5490,2419,7909
63,6168,2627,8795
64,6854,2822,9676
65,6943,3009,9952
66,7931,3297,11228
67,8832,3740,12572
68,9898,4156,14054
69,11246,4771,16016
70,13080,5530,18611
71,15003,6534,21537
72,17218,7649,24867
73,18401,8569,26970
74,21952,10414,32366
75,24322,12222,36544
76,25131,12854,37986
77,21815,11425,33240
78,18881,10638,29519
79,22964,13294,36258
80,26670,16294,42965
81,29511,18352,47864
82,31376,20781,52157
83,31105,21906,53011
84,29515,22298,51813
85,28963,23188,52151
86,31202,27579,58780
87,33253,31222,64475
88,31840,33621,65461
89,29926,34423,64350
90,27555,35847,63402
91,24919,36577,61496
92,22036,35990,58026
93,18741,34097,52839
94,15262,31430,46692
95,12354,28627,40981
96,9818,25563,35381
97,7652,22605,30258
98,5757,19343,25100
99,4197,15801,19998
100,8006,42277,50284
