time,magnitude,latitude,longitude,depth_km
2000-01-09T04:02:23.680Z,5.4,37.28,141.515,56.0
2000-01-10T16:40:42.240Z,5.7,27.35,139.979,453.2
2000-01-11T23:43:56.450Z,5.1,40.498,122.994,10.0
2000-01-13T18:52:12.030Z,5.2,44.393,149.492,48.9
2000-01-23T07:40:04.900Z,5.5,30.239,130.768,42.9
2000-01-27T10:10:57.250Z,5.3,31.678,141.686,33.0
2000-01-28T14:21:07.340Z,6.8,43.046,146.837,61.1
2000-01-28T16:39:24.280Z,6.0,26.076,124.496,193.9
2000-02-07T06:34:49.670Z,5.2,43.368,147.433,61.5
2000-02-07T16:41:04.580Z,5.4,31.037,141.694,33.0
2000-02-11T07:08:38.870Z,5.1,39.047,140.781,33.0
2000-02-13T02:57:08.720Z,6.0,42.853,131.572,513.6
2000-02-14T20:22:23.660Z,5.3,31.04,141.622,33.0
2000-02-16T11:52:13.390Z,5.4,37.269,145.178,33.0
2000-02-19T04:49:28.710Z,5.0,44.513,149.379,54.5
2000-02-19T05:23:28.650Z,5.3,44.499,149.393,51.6
2000-02-19T06:06:09.080Z,5.1,44.476,149.401,50.2
2000-02-25T06:13:00.550Z,5.2,25.287,123.829,150.2
2000-03-11T17:19:13.550Z,5.2,27.535,139.709,459.5
2000-03-19T21:26:02.380Z,5.3,37.989,141.336,80.1
2000-03-21T04:32:34.400Z,5.4,31.871,142.54,33.0
2000-03-30T07:06:06.920Z,5.1,43.343,146.412,64.1
2000-03-31T18:12:24.890Z,5.0,42.569,140.785,33.0
2000-04-12T21:51:31.110Z,5.1,40.131,142.291,33.0
2000-04-14T17:41:10.110Z,5.1,33.656,135.308,35.3
2000-04-18T21:05:51.900Z,5.0,24.026,126.709,33.0
2000-04-21T11:06:16.020Z,5.5,35.667,135.486,346.5
2000-04-25T15:28:11.090Z,5.3,40.319,143.242,10.0
2000-04-26T12:48:16.130Z,5.0,26.405,125.528,164.2
2000-04-26T12:48:49.500Z,5.4,40.309,143.328,29.9
2000-04-26T12:55:04.020Z,5.6,40.178,143.236,33.0
2000-04-30T12:39:47.040Z,5.4,40.434,143.738,10.0
2000-05-01T20:45:12.840Z,5.2,40.274,143.245,33.0
2000-05-01T21:05:38.350Z,5.0,40.244,143.288,33.0
2000-05-02T05:25:04.690Z,5.0,40.276,143.269,33.0
2000-05-14T04:11:16.500Z,5.2,27.573,139.717,477.4
2000-06-03T08:54:49.200Z,6.2,35.552,140.464,62.3
2000-06-06T14:57:02.220Z,6.4,29.424,131.421,33.0
2000-06-06T21:16:42.400Z,5.9,36.829,135.464,10.0
2000-06-08T00:32:46.500Z,5.0,32.679,130.682,21.5
2000-06-09T22:35:13.780Z,5.8,30.472,137.682,472.6
2000-06-09T23:31:45.290Z,6.3,30.491,137.73,485.3
2000-06-15T11:10:46.210Z,6.1,29.368,132.082,10.0
2000-06-25T06:34:42.880Z,6.0,31.183,131.206,10.0
2000-06-28T09:25:47.890Z,5.3,34.217,139.506,10.0
2000-06-28T16:15:17.960Z,5.2,34.014,139.319,10.0
2000-06-29T02:56:20.960Z,5.3,34.19,139.136,10.0
2000-06-29T03:11:51.430Z,5.3,34.155,139.18,10.0
2000-06-29T03:34:26.260Z,5.1,34.244,139.141,10.0
2000-06-29T04:02:36.920Z,5.5,34.056,139.561,10.0
2000-06-29T04:53:26.310Z,5.3,34.082,139.333,10.0
2000-06-29T05:54:55.400Z,5.1,34.151,139.422,10.0
2000-06-29T06:30:22.090Z,5.6,34.027,139.359,10.0
2000-06-29T09:53:28.100Z,5.0,34.324,140.221,10.0
