age,total_population,japanese_population
0,716,695
1,757,738
2,797,780
3,828,810
4,836,818
5,872,853
6,915,897
7,940,921
8,980,961
9,1004,987
10,1003,985
11,1028,1011
12,1032,1015
13,1057,1041
14,1066,1051
15,1071,1057
16,1091,1076
17,1085,1070
18,1089,1062
19,1121,1061
20,1189,1102
21,1207,1109
22,1261,1148
23,1297,1163
24,1307,1169
25,1295,1168
26,1312,1184
27,1304,1180
28,1298,1181
29,1309,1196
30,1300,1196
31,1268,1167
32,1275,1185
33,1265,1180
34,1288,1201
35,1308,1229
36,1345,1274
37,1378,1311
38,1396,1335
39,1445,1388
40,1493,1438
41,1512,1457
42,1512,1456
43,1524,1475
44,1590,1543
45,1629,1583
46,1689,1646
47,1732,1692
48,1812,1773
49,1885,1848
50,1990,1954
51,2023,1987
52,1985,1949
53,1926,1890
54,1864,1828
55,1833,1799
56,1787,1753
57,1778,1750
58,1387,1359
59,1705,1678
60,1595,1568
61,1551,1525
62,1497,1475
63,1463,1443
64,1467,1448
65,1487,1470
66,1440,1424
67,1393,1378
68,1456,1441
69,1492,1478
70,1482,1470
71,1560,1548
72,1633,1622
73,1710,1700
74,1813,1804
75,1962,1952
76,1911,1902
77,1784,1775
78,1088,1081
79,1141,1135
80,1360,1354
81,1279,1273
82,1273,1268
83,1191,1186
84,1035,1031
85,852,849
86,856,853
87,821,818
88,758,755
89,657,655
90,558,556
91,494,493
92,419,418
93,344,344
94,273,273
95,218,218
96,171,171
97,112,112
98,81,81
99,52,52
100,87,87
